mid,name,dur_s
/t/dd00077,Mechanisms,239389.211
/m/04rlf,Music,225338.319
/m/093_4n,Background noise,176319.733
/m/05zppz,"Male speech, man speaking",121004.131
/m/03m9d0z,Wind,95201.541
/m/01h8n0,Conversation,56300.252
/m/02zsn,"Female speech, woman speaking",43517.909
/t/dd00099,Generic impact sounds,40738.562
/m/0bzvm2,Video game sound,34102.24
/t/dd00092,Wind noise (microphone),33340.121
/m/03qtwd,Crowd,25916.055
/m/07qfr4h,"Hubbub, speech noise, speech babble",24672.423
/t/dd00003,Male singing,22379.476
/m/0838f,Water,20911.921
/m/0c1dj,Sound effect,18984.027
/t/dd00066,Medium engine (mid frequency),18806.45
/m/012f08,Motor vehicle (road),18080.067
/m/07q2z82,"Accelerating, revving, vroom",17265.741
/m/0k4j,Car,16483.508
/m/07jdr,Train,15926.342
/m/0lyf6,Breathing,14705.847
/m/020bb7,"Bird vocalization, bird call, bird song",13810.218
/m/01j3sz,Laughter,13491.494
/t/dd00004,Female singing,13188.095
/m/07c52,Television,11930.305
/m/0ytgt,"Child speech, kid speaking",10597.761
/m/09l8g,Human voice,9062.148
/m/0l14jd,Choir,8908.862
/m/07p6fty,Shout,8540.696
/t/dd00109,Surface contact,8392.247
/m/07r04,Truck,7097.787
/m/053hz1,Cheering,7086.342
/m/096m7z,Noise,7053.594
/m/07pggtn,"Chirp, tweet",6611.93
/m/0btp2,"Traffic noise, roadway noise",6477.566
/m/03vt0,Insect,6193.228
/m/034srq,"Waves, surf",6017.174
/m/07qjznt,Tick,5823.725
/m/07qwyj0,Rustle,5730.211
/m/02mk9,Engine,5643.576
/m/04_sv,Motorcycle,5359.38
/t/dd00067,Heavy engine (low frequency),5353.157
/t/dd00038,Rain on surface,5096.657
/m/0j6m2,"Stream, river",4980.393
/m/0dgw9r,Human sounds,4853.345
/m/02rlv9,"Motorboat, speedboat",4834.309
/m/07pbtc8,"Walk, footsteps",4706.334
/m/06mb1,Rain,4564.969
/m/03kmc9,Siren,4446.966
/m/09x0r,Speech,4446.179
/m/0ltv,"Race car, auto racing",4416.744
/m/07yv9,Vehicle,4387.402
/m/028ght,Applause,4323.889
/m/0l15bq,Clapping,4247.225
/m/0395lw,Bell,4244.72
/t/dd00112,"Crumpling, crinkling",4208.939
/m/07pqc89,"Trickle, dribble",3810.057
/m/09xqv,Cricket,3803.892
/m/0jbk,Animal,3769.082
/m/02_41,Fire,3765.298
/m/012ndj,"Fire engine, fire truck (siren)",3734.19
/m/06bxc,Rapping,3731.441
/m/02jz0l,"Water tap, faucet",3713.626
/m/015lz1,Singing,3570.078
/m/07rwm0c,Clickety-clack,3514.9
/t/dd00005,Child singing,3502.166
/m/09ct_,Helicopter,3437.354
/m/01w250,Whistling,3409.189
/m/06wzb,Steam,3332.669
/m/07rrlb6,"Splash, splatter",3287.135
/m/01bjv,Bus,3239.434
/m/0k5j,Aircraft,3231.48
/m/07pp_mv,Alarm,3193.814
/m/0195fx,"Subway, metro, underground",3167.119
/m/01j4z9,Chainsaw,3155.571
/m/03w41f,Church bell,3097.086
/m/07p9k1k,Sizzle,3079.591
/m/019jd,"Boat, Water vehicle",3041.505
/m/01h82_,Engine knocking,2964.229
/m/05kq4,Ocean,2939.998
/m/0brhx,Speech synthesizer,2933.524
/m/02x984l,Mechanical fan,2911.619
/m/0bt9lr,Dog,2909.982
/m/05tny_,Bark,2882.422
/m/0150b9,Change ringing (campanology),2870.573
/m/06h7j,Run,2840.93
/m/01v_m0,Sine wave,2832.937
/m/07rwj3x,Whoop,2733.525
/m/014yck,Aircraft engine,2684.254
/m/07pjwq1,Buzz,2620.745
/m/0284vy3,Train horn,2583.974
/m/02fs_r,"Beep, bleep",2580.287
/m/014zdl,Explosion,2571.514
/m/01yg9g,Lawn mower,2527.683
/m/032s66,"Gunshot, gunfire",2515.261
/m/0_ksk,Power tool,2506.902
/m/0d31p,Vacuum cleaner,2447.081
/m/07r_25d,Coo,2435.576
/m/046dlr,Alarm clock,2408.049
/g/122z_qxw,Firecracker,2390.601
/m/01m4t,Printer,2345.674
/m/0dxrf,Frying (food),2340.192
/m/07rv9rh,Clip-clop,2339.242
/m/07qcpgn,Tap,2321.122
/m/0j2kx,Waterfall,2312.777
/m/05_wcq,"Bird flight, flapping wings",2295.07
/m/0dgbq,Civil defense siren,2287.251
/m/07qf0zm,Howl,2277.479
/m/07ptzwd,Pump (liquid),2262.492
/m/0cmf2,"Fixed-wing aircraft, airplane",2259.33
/m/04qvtq,Police car (siren),2126.572
/t/dd00001,Baby laughter,2125.307
/m/06_fw,Skateboard,2116.364
/t/dd00002,"Baby cry, infant cry",2102.824
/m/04gy_2,Battle cry,2091.847
/m/07prgkl,Pour,2085.543
/m/0ghcn6,Growling,2064.127
/m/01jg02,"Heart sounds, heartbeat",2054.363
/m/03qc9zr,Screaming,2043.473
/m/09b5t,"Chicken, rooster",2030.336
/m/0c3f7m,Fire alarm,2024.846
/m/02pjr4,"Blender, food processor",2020.425
/m/0463cq4,"Crying, sobbing",1985.623
/m/01jt3m,Toilet flush,1981.159
/m/01d380,Drill,1970.062
/m/03wvsk,Hair dryer,1938.028
/m/06q74,Ship,1924.008
/m/03cczk,"Chewing, mastication",1908.427
/m/056ks2,"Rowboat, canoe, kayak",1898.942
/m/02g901,"Electric shaver, electric razor",1878.387
/m/07pb8fc,Idling,1876.247
/m/01m2v,Computer keyboard,1861.503
/m/0912c9,"Vehicle horn, car horn, honking, toot",1851.294
/t/dd00048,Train wheels squealing,1841.779
/m/0199g,"Bicycle, tricycle",1813.641
/m/07qlf79,Spray,1807.165
/m/02rr_,Effects unit,1771.935
/m/0g6b5,Fireworks,1750.848
/m/0dv3j,Boiling,1734.389
/m/02rtxlg,Whispering,1726.651
/t/dd00006,Synthetic singing,1719.359
/m/04k94,Liquid,1688.166
/m/09ddx,"Ducks, geese, waterfowl",1685.544
/m/0llzx,Sewing machine,1685.207
/m/07q0h5t,Bleat,1660.211
/m/04zjc,Machine gun,1652.142
/m/01h3n,"Bee, wasp, etc.",1639.693
/t/dd00088,Gush,1630.083
/m/02l6bg,"Propeller, airscrew",1608.805
/m/0h9mv,"Tire squeal, skidding",1586.285
/m/0130jx,Sink (filling or washing),1578.578
/m/07s02z0,Squeal,1569.44
/m/02qldy,"Narration, monologue",1548.01
/m/0jb2l,Thunderstorm,1539.668
/m/02yds9,Purr,1532.96
/m/012n7d,Ambulance (siren),1527.402
/m/026fgl,Wind chime,1514.822
/m/07r660_,Giggle,1512.139
/m/04229,Jet engine,1504.484
/m/01hnzm,Ringtone,1487.892
/m/07qv4k0,Scrape,1471.244
/m/0fw86,Tap dance,1466.512
/m/0hsrw,"Sailboat, sailing ship",1444.643
/m/01d3sd,Snoring,1412.44
/m/02bk07,Chant,1383.551
/m/0c1tlg,"Electric rotor drone, quadcopter",1358.935
/m/07pp8cl,Telephone bell ringing,1357.344
/m/025wky1,Air conditioning,1348.314
/m/0ngt1,Thunder,1336.424
/m/06hck5,Steam whistle,1318.4
/t/dd00138,Brief tone,1305.373
/m/02bm9n,"Ratchet, pawl",1296.142
/m/03j1ly,Emergency vehicle,1268.422
/m/07qn4z3,Rattle,1260.156
/m/05x_td,"Air horn, truck horn",1254.238
/m/03cl9h,"Ice cream truck, ice cream van",1236.674
/t/dd00141,Pant (dog),1236.646
/m/03dnzn,Bathtub (filling or washing),1236.627
/m/07rjwbb,Hiss,1230.549
/m/04cvmfc,Roar,1227.384
/m/09ld4,Frog,1201.392
/m/01g50p,"Railroad car, train wagon",1199.366
/m/07ptfmf,Stir,1196.2
/m/02mfyn,Car alarm,1178.679
/m/02p01q,Filing (rasp),1174.439
/m/07qc9xj,Clicking,1171.352
/m/06d_3,Rail transport,1167.087
/m/07phhsh,Rumble,1128.618
/m/0_1c,Artillery fire,1125.083
/m/07rpkh9,Moo,1121.552
/m/081rb,Writing,1120.037
/m/07swgks,"Gurgling, bubbling",1111.651
/m/01c194,Mantra,1111.263
/t/dd00065,Light engine (high frequency),1102.542
/m/06bz3,Radio,1095.923
/m/07qn5dc,"Crowing, cock-a-doodle-doo",1089.821
/m/07r5c2p,Caw,1089.327
/m/01b_21,Cough,1088.844
/m/01x3z,Clock,1087.429
/m/0g12c5,Distortion,1073.495
/m/068zj,Pig,1070.534
/m/0239kh,Cowbell,1066.61
/m/01b82r,Sawing,1064.364
/m/01yrx,Cat,1052.986
/t/dd00134,Car passing by,1027.094
/m/015p6,Bird,1024.997
/m/0fx9l,Microwave oven,1016.737
/t/dd00130,Engine starting,1014.848
/m/07r4gkf,Patter,1001.282
/m/07p7b8y,Fill (with liquid),997.355
/m/07pxg6y,Eruption,981.844
/m/07rn7sz,Glass shatter,978.411
/m/0261r1,Babbling,977.375
/m/06hps,"Rodents, rats, mice",965.969
/m/0c2wf,Typewriter,961.01
/m/07qnq_y,"Thump, thud",945.041
/m/07st88b,Croak,943.821
/m/03q5_w,"Burping, eructation",927.329
/m/02rhddq,Reversing beeps,925.755
/m/07st89h,Cluck,914.482
/m/03p19w,Jackhammer,878.754
/m/02y_763,Sliding door,871.892
/m/0h0rv,"Pigeon, dove",866.706
/m/0l7xg,Gears,863.29
/m/03l9g,Hammer,860.646
/m/02fxyj,Humming,825.635
/m/04brg2,"Dishes, pots, and pans",822.333
/m/07qb_dv,Scratch,820.81
/m/04zmvq,Train whistle,816.033
/t/dd00018,Oink,810.265
/m/07rbp7_,Whip,764.044
/t/dd00013,Children playing,760.502
/m/03wwcy,Doorbell,747.541
/m/04179zz,Duck call (hunting tool),746.054
/t/dd00126,"Inside, large room or hall",728.032
/m/07pdjhy,Rub,711.283
/m/07qv_x_,Shuffle,709.503
/m/07pzfmf,Crackle,701.641
/m/023vsd,Sanding,700.532
/m/02_nn,Fart,697.584
/m/07q8f3b,Howl (wind),691.27
/t/dd00136,Whimper (dog),688.154
/m/07m2kt,Chorus effect,682.003
/m/07pyy8b,Pant,678.103
/m/01swy6,Yodeling,663.743
/m/0md09,"Power saw, circular saw, table saw",660.982
/m/04fgwm,Electric toothbrush,652.881
/m/01jnbd,Echo,651.153
/m/027m70_,Jingle bell,649.878
/m/0242l,Coin (dropping),646.981
/m/0l156k,Whistle,645.243
/m/024dl,Cash register,642.19
/m/07q5rw0,"Neigh, whinny",626.067
/m/0gy1t2s,Bicycle bell,624.598
/m/07qrkrw,Meow,611.967
/m/09d5_,Owl,607.121
/m/07s0dtb,Gasp,602.088
/m/06_y0by,Environmental noise,601.775
/m/018w8,Basketball bounce,599.884
/m/07s2xch,Groan,598.185
/m/06xkwv,Mains hum,596.662
/m/0641k,Paper rustling,596.548
/m/0hdsk,Chirp tone,593.661
/m/07n_g,Tuning fork,591.166
/m/01rd7k,Turkey,585.287
/m/039jq,Glass,574.09
/m/07qjznl,Tick-tock,562.807
/m/07r81j2,Caterwaul,559.194
/m/0b_fwt,Electronic tuner,549.173
/m/07pc8lb,Breaking,544.004
/m/04fq5q,Foghorn,532.643
/m/07q7njn,"Glass chink, clink",528.9
/m/07r5v4s,Drip,521.365
/m/023pjk,"Cutlery, silverware",519.794
/m/0f8s22,Chime,515.845
/m/01g90h,Stomach rumble,510.592
/t/dd00135,Children shouting,510.014
/m/07q6cd_,Squeak,506.542
