mid,name,dur_s,weight
/m/01j3j8,Studio recording,0,33.33333333
/m/01jg1z,Heart murmur,0,33.33333333
/m/01jwx6,Vibration,0,33.33333333
/m/028v0c,Silence,0,33.33333333
/m/07hvw1,Unmodified field recording,0,33.33333333
/m/07p_0gm,Throbbing,0,33.33333333
/t/dd00098,Source-ambiguous sounds,0,33.33333333
/t/dd00129,"Outside, rural or natural",0,33.33333333
/t/dd00133,Specific impact sounds,0,33.33333333
/m/0bpl036,Human locomotion,0.451,32.83964402
/m/0269r2s,Chain,0.786,32.48229715
/m/07q34h3,Puff,0.918,32.3436186
/t/dd00147,"Dong, bong",1.037,32.21960885
/m/07pk7mg,Wobble,1.316,31.93255844
/m/07p78v5,Zing,1.425,31.82179793
/m/0193bn,Sonic boom,1.478,31.76821907
/m/02ll1_,Lock,1.511,31.7349497
/m/07pt6mm,Grind,1.591,31.65458517
/m/08dckq,"Carbon monoxide detector, CO detector",1.701,31.54474622
/m/098_xr,Error signal,1.879,31.36861257
/m/0160x5,Digestive,2.842,30.44881554
/m/0hg7b,Microphone,3.621,29.74331519
/m/0d4wf,Kitchen and dining room sounds,4.435,29.04022071
/m/07pc8l3,Snap,5.175,28.42928216
/m/01hhp3,Yak,5.185,28.42120222
/m/04v5dt,Booing,5.235,28.38087129
/m/0bcdqg,"Ringing tone, ringback tone",5.981,27.79244601
/m/079vc8,Wolf-whistling,6.378,27.48914179
/m/07q8k13,Screech,6.417,27.45970289
/m/09hlz4,Respiratory sounds,7.315,26.79887445
/t/dd00122,Other sourceless,7.908,26.37965601
/t/dd00110,Deformable shell,8.811,25.76589111
/t/dd00125,"Inside, small room",10,25
/t/dd00128,"Outside, urban or manmade",10,25
/m/07bm98,Sound reproduction,11.836,23.90285878
/m/0ch8v,"Livestock, farm animals, working animals",12.586,23.48189546
/m/01z5f,"Canidae, wild dogs, wolves",14.184,22.6326272
/t/dd00118,Fizz,15.434,22.0099485
/m/0ffhf,"Donkey, ass",16.408,21.54800896
/m/01j423,Yawn,17.963,20.84940475
/t/dd00108,Clunk,18.208,20.74344507
/m/0fjy1,Wildfire,19.085,20.37282265
/t/dd00061,Non-motorized land vehicle,19.168,20.3384315
/m/040b_t,Refrigerator,19.569,20.17389901
/m/07s13rg,Sweeping,28.667,17.0453577
/m/0zmy2j9,"Velcro, hook and loop fastener",28.766,17.01664228
/t/dd00123,"Channel, environment and background",29.985,16.67083438
/m/01dwxx,"Gull, seagull",30.138,16.6284213
/m/01lynh,Stairs,32.927,15.89142975
/t/dd00143,Unknown sound,35.945,15.16415194
/m/05mxj0q,"Packing tape, duct tape",36.869,14.95461275
/g/11b630rrvh,Kettle whistle,40.867,14.11094021
/m/02021,Chipmunk,42.366,13.81864411
/m/068hy,"Domestic animals, pets",43.037,13.69169051
/m/0hgq8df,Crockery breaking and smashing,43.245,13.65280907
/m/07pws3f,Bang,44.449,13.43201386
/m/07qwdck,Ping,45.138,13.30884506
/m/04ctx,Knife,45.488,13.24713862
/m/06cyt0,Mechanical bell,45.679,13.21370526
/m/07pqmly,"Slurp, drinking straw",50.236,12.46323346
/m/0642b4,Cupboard open or close,53.808,11.93203513
/t/dd00091,Sound equipment,56.45,11.56737999
/m/01j2bj,Bathroom sounds,57.068,11.48527588
/t/dd00012,Human group actions,57.989,11.365057
/m/07mzm6,Wheeze,63.727,10.6692842
/m/07qs1cx,Crack,64.651,10.56512874
/m/07qsvvw,"Burst, pop",65.071,10.51845463
/m/07rc7d9,Bow-wow,71.335,9.868258746
/t/dd00139,Snort (horse),73.481,9.663609745
/m/07pyf11,Flap,73.689,9.644224556
/m/018p4k,Cart,79.098,9.166070872
/m/09d1b1,Tape hiss,79.214,9.156335268
/t/dd00144,Alert,79.252,9.153150514
/m/07qz6j3,Whimper,80.492,9.05042899
/m/07s04w4,Snicker,82.246,8.909003439
/m/07pt_g0,Pulse,82.723,8.871303993
/m/07sr1lc,Yell,83.545,8.807080893
/m/07s8j8t,Roll,89.317,8.381035393
/m/07r10fb,Raindrop,93.487,8.098018415
/m/07sx8x_,Squawk,93.96,8.067118425
/m/07qlwh6,Squish,101.619,7.597687264
/m/07q4ntr,Bellow,110.565,7.11414648
/m/07rrh0c,Thunk,111.626,7.060850409
/m/07q0yl5,Snort,113.026,6.991735768
/m/07qfgpx,"Jingle, tinkle",116.005,6.849080511
/m/05zc1,Pulleys,119.913,6.670535577
/m/07szfh9,Cacophony,123.474,6.515761627
/m/012xff,Toothbrush,124.427,6.475551555
/m/07qqyl4,Boom,125.034,6.450198021
/m/07bgp,Sheep,130.926,6.214036265
/m/08j51y,"Dental drill, dentist's drill",131.085,6.20790266
/m/07qyrcz,Plop,140.97,5.848979353
/m/07sk0jz,"Stomp, stamp",141.187,5.841565072
/m/07plz5l,Sigh,141.436,5.833080567
/m/07cx4,Telephone,148.181,5.612270669
/m/0dl9sf8,Throat clearing,155.924,5.37854177
/m/07qw_06,"Wail, moan",156.091,5.37371501
/t/dd00142,Audio logo,156.153,5.371925244
/m/025_jnm,Finger snapping,157.175,5.342593829
/m/01sb50,"Cellphone buzz, vibrating alert",160.946,5.237082735
/m/0939n_,Gargling,162.18,5.203455094
/m/07pjjrj,"Smash, crash",163.646,5.164062258
/m/07r4wb8,Knock,166.081,5.099933191
/m/0chx_,"White noise, pink noise",168.341,5.041821913
/m/07rjzl8,Slam,169.387,5.015372116
/m/056r_1,Keypress tone,172.038,4.949563943
/m/07pdhp0,Biting,174.919,4.879976967
/m/025rv6n,Fowl,178.915,4.786635713
/m/083vt,Wood,186.569,4.617466027
/m/02p3nc,Hiccup,186.744,4.613737866
/m/07ryjzk,"Slap, smack",194.062,4.463050406
/m/07sq110,Belly laugh,201.08,4.327505626
/m/07pl1bw,Splinter,211.141,4.146951369
/m/01xq0k1,"Cattle, bovinae",231.399,3.82556934
/m/0dl83,Arrow,239.861,3.705611407
/m/0k65p,Hands,242.765,3.666159515
/m/0fqfqc,Drawer open or close,243.65,3.654302942
/m/07qcx4z,Tearing,245.32,3.632137149
/m/078jl,Snake,245.979,3.623464104
/m/07s12q4,Crunch,250.202,3.568853898
/m/02417f,"Windscreen wiper, windshield wiper",251.439,3.553167827
/m/07r_80w,Hoot,251.965,3.546539464
/m/0790c,Sonar,255.192,3.506409717
/m/07ppn3j,Sniff,263.125,3.411513859
/m/030rvx,Buzzer,269.95,3.333888981
/m/0gvgw0,Air brake,274.071,3.288705598
/m/07rqsjt,"Whoosh, swoosh, swish",276.184,3.266009981
/m/07r67yg,Ding-dong,277.573,3.251260676
